steps,updates,minutes,decisions_per_s,eps_mean,loss,q_mean,games,practice_score,practice_level
9252656,575167,91.58,1566,0.0718,0.30436,17.548,6966,12638.2,3.12
9305088,578444,92.08,1747,0.0718,0.31338,17.458,7004,13234.4,3.27
9356800,581676,92.58,1724,0.0718,0.31768,17.54,7036,12797.5,3.16
9410832,585053,93.08,1801,0.0718,0.33185,17.326,7072,13984.7,3.5
9463824,588365,93.58,1766,0.0718,0.32801,17.77,7108,13971.4,3.47
9510784,591300,94.08,1565,0.0718,0.32286,17.767,7143,13681.9,3.34
9564000,594626,94.58,1774,0.0718,0.31796,17.833,7180,13465.4,3.31
9617952,597998,95.08,1798,0.0718,0.30359,17.981,7217,13179.6,3.29
9673136,601447,95.58,1839,0.0718,0.30656,17.971,7257,13989.9,3.47
9726544,604785,96.08,1780,0.0718,0.31778,17.781,7289,13329.1,3.31
9774160,607761,96.58,1587,0.0718,0.32455,17.995,7324,14165.5,3.5
9827008,611064,97.08,1761,0.0718,0.33624,18.059,7361,13384.1,3.36
9880096,614382,97.58,1769,0.0718,0.32604,18.028,7399,14057.6,3.48
9934784,617800,98.08,1823,0.0718,0.33066,17.986,7435,14499.7,3.46
9985696,620982,98.58,1697,0.0718,0.33972,18.097,7468,14441.5,3.44
10030928,623809,99.08,1507,0.0718,0.33496,18.178,7502,13870.5,3.36
10084576,627162,99.58,1788,0.0718,0.32816,18.007,7539,13094.2,3.33
10138016,630502,100.08,1781,0.0718,0.32152,18.004,7576,13565.1,3.4
10191168,633824,100.58,1771,0.0718,0.32175,18.159,7612,14115.8,3.55
10243536,637097,101.08,1745,0.0718,0.31668,17.896,7645,14246.6,3.58
10290496,640032,101.58,1565,0.0718,0.3304,18.044,7678,14550.8,3.66
10344384,643400,102.08,1796,0.0718,0.3199,18.115,7714,14299.0,3.56
10395984,646625,102.58,1720,0.0718,0.32247,18.122,7749,14211.0,3.53
10448592,649913,103.08,1753,0.0718,0.31499,18.143,7782,14277.8,3.56
10500016,653127,103.63,1569,0.0718,0.30732,18.517,7815,14316.1,3.56
10551648,656354,104.13,1721,0.0718,0.31425,18.526,7850,15426.6,3.79
10603632,659603,104.63,1733,0.0718,0.31115,18.752,7883,14632.1,3.58
10658496,663032,105.13,1829,0.0718,0.31553,18.74,7920,14436.8,3.57
10711584,666350,105.63,1770,0.0718,0.31238,18.533,7955,14905.1,3.63
10759264,669330,106.13,1589,0.0718,0.3175,18.573,7985,15034.1,3.66
10811856,672617,106.63,1753,0.0718,0.30878,18.589,8027,14778.0,3.56
10862880,675806,107.13,1701,0.0718,0.31485,18.44,8057,14162.5,3.46
10916176,679137,107.63,1776,0.0718,0.32896,18.496,8088,14578.3,3.6
10968688,682419,108.13,1750,0.0718,0.32157,18.545,8125,14631.4,3.69
11017392,685463,108.63,1623,0.0718,0.30171,18.471,8158,14982.6,3.76
11070224,688765,109.13,1761,0.0718,0.2979,18.436,8192,14500.8,3.64
11121152,691948,109.63,1698,0.0718,0.30748,18.62,8225,14990.7,3.7
11168560,694911,110.13,1580,0.0718,0.32139,18.849,8255,14877.7,3.65
11220592,698163,110.63,1734,0.0718,0.32276,18.547,8291,14988.8,3.61
11263568,700849,111.13,1432,0.0718,0.31662,18.516,8321,14632.8,3.52
11313696,703982,111.63,1671,0.0718,0.32455,18.789,8361,13921.3,3.38
11363952,707123,112.13,1675,0.0718,0.3162,18.423,8398,13807.8,3.34
11413792,710238,112.63,1661,0.0718,0.32256,18.682,8430,13650.1,3.29
11464960,713436,113.13,1706,0.0718,0.31838,18.656,8467,14068.6,3.43
11510400,716276,113.63,1514,0.0718,0.32493,18.633,8498,14449.1,3.54
11561264,719455,114.13,1695,0.0718,0.31879,18.501,8536,14658.7,3.54
11612160,722636,114.63,1696,0.0718,0.31477,18.748,8565,14181.4,3.48
11662640,725791,115.13,1682,0.0718,0.31852,18.802,8601,14389.8,3.51
11712304,728895,115.63,1655,0.0718,0.31788,18.808,8634,14011.2,3.49
11757776,731737,116.13,1516,0.0718,0.31957,18.721,8666,14460.9,3.62
11808672,734918,116.63,1696,0.0718,0.33033,18.437,8695,14235.9,3.57
11858720,738046,117.13,1668,0.0718,0.31409,18.362,8730,15455.7,3.74
11912816,741427,117.63,1803,0.0718,0.30747,18.651,8766,15079.3,3.68
11964432,744653,118.13,1720,0.0718,0.2994,18.546,8804,14680.9,3.62
12011408,747589,118.63,1566,0.0718,0.31026,18.566,8837,13910.9,3.42
12064288,750894,119.13,1762,0.0718,0.32434,18.608,8874,14150.0,3.44
12116080,754131,119.63,1726,0.0718,0.32615,18.472,8909,14248.7,3.43
12168944,757435,120.13,1762,0.0718,0.31796,18.826,8948,14329.8,3.4
