steps,updates,minutes,decisions_per_s,eps_mean,loss,q_mean,games,practice_score,practice_level
73447232,4577956,77.29,1916,0.0718,0.27967,20.536,4789,19452.9,4.47
73500016,4581255,77.83,1642,0.0718,0.28121,20.167,4819,20141.0,4.58
73556352,4584776,78.33,1878,0.0718,0.28144,20.648,4849,19882.2,4.59
73614816,4588430,78.83,1948,0.0718,0.27828,20.615,4881,20669.2,4.72
73670000,4591879,79.33,1839,0.0718,0.28057,20.732,4912,20587.8,4.68
73727040,4595444,79.83,1901,0.0718,0.28302,20.637,4946,19815.7,4.54
73776864,4598558,80.33,1660,0.0718,0.27707,20.626,4971,18953.0,4.38
73833104,4602073,80.83,1874,0.0718,0.28006,20.735,5004,18972.6,4.42
73888992,4605566,81.33,1863,0.0718,0.28381,20.496,5035,18547.2,4.37
73945504,4609098,81.83,1884,0.0718,0.2831,20.291,5066,19515.0,4.6
74000016,4612505,82.38,1657,0.0718,0.28653,20.757,5099,19168.0,4.51
74058448,4616157,82.88,1947,0.0718,0.28628,20.542,5130,19205.0,4.56
74114496,4619660,83.38,1867,0.0718,0.28204,20.664,5162,18816.7,4.48
74171696,4623235,83.88,1907,0.0718,0.29045,20.772,5192,19224.9,4.59
74228224,4626768,84.38,1884,0.0718,0.28679,20.744,5223,19347.5,4.59
74273328,4629587,84.88,1503,0.0718,0.27684,20.798,5251,19481.5,4.6
74332240,4633269,85.38,1963,0.0718,0.27809,20.752,5285,19116.7,4.56
74389600,4636854,85.88,1912,0.0718,0.28014,20.583,5316,18740.0,4.47
74448256,4640520,86.38,1955,0.0718,0.27982,20.4,5343,20340.2,4.76
74500016,4643755,86.89,1679,0.0718,0.28285,20.933,5371,20384.5,4.77
74557584,4647353,87.39,1919,0.0718,0.28244,20.603,5402,20582.4,4.8
74615584,4650978,87.89,1933,0.0718,0.27954,20.751,5434,20632.2,4.86
74673792,4654616,88.39,1940,0.0718,0.27685,20.575,5465,19609.9,4.57
74731984,4658253,88.89,1939,0.0718,0.27287,20.747,5498,19617.4,4.59
74782464,4661408,89.39,1682,0.0718,0.27531,20.55,5524,19534.6,4.59
74840080,4665009,89.89,1920,0.0718,0.2757,20.74,5557,18828.7,4.52
74897584,4668603,90.39,1916,0.0718,0.27326,20.737,5589,18715.9,4.5
74953792,4672116,90.89,1873,0.0718,0.27221,20.613,5620,19587.7,4.66
